entry_id,specimen_id,specimen_scale,source,title,authors,year,frm_h,frm_l,col_h,col_d,bm_h,bm_t,bbm_h,bbm_t,slb_d,slb_h,col_ext,bm_ext,bbm_ext,inf_type,inf_opn_type,inf_win_h,inf_win_v,inf_win_ph,inf_win_pv,inf_door_h,inf_door_v,inf_door_ph,inf_door_pv,inf_dp,inf_bnd_pat,inf_inff_intfc,inf_interface_bottom,inf_interface_left,inf_interface_top,inf_interface_right,inf_ul,inf_uh,inf_ut,inf_uhead_t,inf_ubed_t,col_cover,col_long_reinf_corner,col_long_reinf_top,col_long_reinf_mid,col_long_reinf_bot,col_trans_crit_top_distance,col_trans_crit_top_reinf,col_trans_crit_bot_distance,col_trans_crit_bot_reinf,col_trans_mid_reinf,bm_cover,bm_long_reinf_corner,bm_long_reinf_top,bm_long_reinf_mid,bm_long_reinf_bot,bm_trans_crit_left_distance,bm_trans_crit_left_reinf,bm_trans_crit_right_distance,bm_trans_crit_right_reinf,bm_trans_mid_reinf,bbm_cover,bbm_long_reinf_corner,bbm_long_reinf_top,bbm_long_reinf_mid,bbm_long_reinf_bot,bbm_trans_crit_left_distance,bbm_trans_crit_left_reinf,bbm_trans_crit_right_distance,bbm_trans_crit_right_reinf,bbm_trans_mid_reinf,slb_cover,slb_top_l_reinf,slb_top_d_reinf,slb_bot_l_reinf,slb_bot_d_reinf,fc,Ec,conc_prop_day,conc_density,fy,fu,Ey,stl_density,inf_unit_density,inf_mortar_density,inf_unit_compressive_strength_length,inf_unit_compressive_strength_height,inf_unit_compressive_strength_width,inf_mortar_type,inf_mortar_compressive_strength,inf_assembly_compressive_strength_height,inf_assembly_compressive_strength_diagonal,inp_loading_protocol,inp_cyclic_number_of_cycles,inp_cyclic_repetition,inp_cyclic_protocol,inp_column_vertical_load,inp_beam_vertical_load,oop_loading_protocol,oop_cyclic_number_of_cycles,oop_cyclic_repetition,oop_cyclic_protocol,oop_column_vertical_load,oop_beam_vertical_load,glb_initial_stiffness,glb_peak_lateral_load,glb_drift_at_peak_lateral_load,glb_peak_lateral_drift,glb_load_at_peak_lateral_drift,glb_energy_dissipation,glb_failure_mode,lcl_crack_pattern,lcl_failure_mechanism,lcl_damage_progression,lcl_strain_distribution,retrofit_techniques,comments
52,C1,0.5,https://doi.org/10.1002/eqe.477,Pseudo-dynamic seismic response of reinforced concrete frames infilled with non-structural brick masonry, F. Colangelo,2005,1550.0,2100.0,200.0,200.0,250.0,200.0,400,400,0.0,0.0,0.0,0.0,600,one_wythe,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.5,running,mortar_bond,10.0,10.0,10.0,10.0,251.0,120.0,121.0,10.0,10.0,18.0,4#12,0#0,2#12,0#0,350,#6@50,350,#6@50,#6@100,18,4#12,0#0,0#0,0#0,0.0,0#0@0,0.0,0#0@0,#6@50,18,4#12,1#12,2#12,1#12,360,#6@90,360,#6@90,#6@163.33,0.0,0#0@0,0#0@0,0#0@0,0#0@0,43.7,0.0,0.0,0.0,531.0,640.0,0.0,0.0,0.0,0.0,0.0,18.7,2.74,Cement Mortar,15.5,5.1,0.87,cyclic,0,none,none,190.0,0.0,none,0,none,none,0.0,0.0,224000.0,205,0.0052,0.0,0.0,0.0,"Flexural yielding mechanism with limited damage. Beam ends developed few full-depth cracks. Columns exhibited diffuse cracking on side not in contact with infill. Infill remained relatively intact even after second test, exploiting full strength capacity.","Flexural cracks concentrated at beam ends with some extending full depth of cross-section. Columns cracked diffusely along height on external face, with cracks opening to lesser extent than beam.",Beam flexural yielding governed response. Column remained predominantly elastic due to seismic design capacity provisions. Maximum beam rotation 0.043 rad with inner fibers elongated.,First test produced flexural cracking. Most cracks closed at zero-force position. Second test increased crack widths but infill maintained structural contribution unlike other specimens.,Asymmetric deformation pattern with concentration in trailing-half beam end where tension developed. Leading-half beam experienced compression and delayed yielding. Column deformation less than beam.,No retrofit techniques applied.,Additional reinforcement in beam middle and beam-column joint is needed. Hole in beam middle is needed.
53,C2,0.5,https://doi.org/10.1002/eqe.477,Pseudo-dynamic seismic response of reinforced concrete frames infilled with non-structural brick masonry, F. Colangelo,2005,1550.0,2100.0,200.0,200.0,250.0,200.0,400,400,0.0,0.0,0.0,0.0,600,one_wythe,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.5,running,mortar_bond,10.0,10.0,10.0,10.0,251.0,120.0,121.0,10.0,10.0,18.0,4#12,0#0,2#12,0#0,350,#6@50,350,#6@50,#6@100,18,4#12,0#0,0#0,0#0,0.0,0#0@0,0.0,0#0@0,#6@50,18,4#12,1#12,2#12,1#12,360,#6@90,360,#6@90,#6@163.33,0.0,0#0@0,0#0@0,0#0@0,0#0@0,46.5,0.0,0.0,0.0,531.0,640.0,0.0,0.0,0.0,0.0,0.0,18.7,2.74,Cement Mortar,15.5,5.1,0.87,cyclic,0,none,none,190.0,0.0,none,0,none,none,0.0,0.0,191000.0,224,0.0106,0.0,0.0,0.0,"Flexural yielding mechanism with moderate damage. Beam ends cracked, columns diffusely cracked. Infill exhibited moderate damage with some crushing in middle region due to higher aspect ratio.",Flexural cracks at beam ends with diffuse cracking pattern along column height on side not contacting infill. Infill showed mid-height crushing pattern characteristic of higher aspect ratio panels.,Beam flexural yielding with column overstrength per capacity design. Maximum beam rotation 0.037 rad. Infill contribution decreased substantially between first and second tests.,First test caused flexural cracking and moderate infill damage. Second test performed on bare frame after infill removal showed reduced strength and different hysteretic behavior.,"Asymmetric beam deformation with trailing-half showing greater rotation. Column top rotation with outer fibers elongated remained less than beam, confirming capacity design effectiveness.",No retrofit techniques applied.,Additional reinforcement in beam middle and beam-column joint is needed. Hole in beam middle is needed.
54,L1,0.5,https://doi.org/10.1002/eqe.477,Pseudo-dynamic seismic response of reinforced concrete frames infilled with non-structural brick masonry, F. Colangelo,2005,1550.0,2700.0,200.0,200.0,250.0,200.0,400,400,0.0,0.0,0.0,0.0,600,one_wythe,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.5,running,mortar_bond,10.0,10.0,10.0,10.0,251.0,120.0,121.0,10.0,10.0,18.0,4#14,0#0,4#12,0#0,350,#6@50,350,#6@50,#6@100,18,4#14,0#0,0#0,0#0,0.0,0#0@0,0.0,0#0@0,#6@50,18,4#12,1#12,2#12,1#12,360,#6@90,360,#6@90,#6@163.33,0.0,0#0@0,0#0@0,0#0@0,0#0@0,51.2,0.0,0.0,0.0,579.0,674,0.0,0.0,0.0,0.0,0.0,18.7,2.74,Cement Mortar,15.5,5.1,0.87,cyclic,0,none,none,250.0,0.0,none,0,none,none,0.0,0.0,203000.0,221,0.0163,0.0,0.0,0.0,"Flexural yielding with severe infill damage. Beam flexural cracking at ends. Columns diffusely cracked. Infill corners crushed during first test, followed by horizontal sliding at mid-height in second test.",Beam developed few flexural cracks with some full-depth. Columns cracked along height on external face. Infill exhibited corner crushing failure mode typical of squat panels.,Beam flexural yielding governed. Seismic design ensured column overstrength. Maximum beam rotation 0.033 rad. Upper corner infill crushing occurred predominantly at column-beam interface.,First test produced beam flexural cracks and severe corner crushing of infill. Second test on bare frame showed horizontal sliding at former mid-height infill location.,Trailing-half beam concentrated deformation with tension-induced early yielding. Column top rotation less than beam per capacity design. Normalized deformation showed asymmetric pattern favoring trailing members.,No retrofit techniques applied.,Additional reinforcement in beam middle and beam-column joint is needed. Hole in beam middle is needed.
55,L2,0.5,https://doi.org/10.1002/eqe.477,Pseudo-dynamic seismic response of reinforced concrete frames infilled with non-structural brick masonry, F. Colangelo,2005,1550.0,2700.0,200.0,200.0,250.0,200.0,400,400,0.0,0.0,0.0,0.0,600,one_wythe,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.5,running,mortar_bond,10.0,10.0,10.0,10.0,251.0,120.0,121.0,10.0,10.0,18.0,4#14,0#0,4#12,0#0,350,#6@50,350,#6@50,#6@100,18,4#14,0#0,0#0,0#0,0.0,0#0@0,0.0,0#0@0,#6@50,18,4#12,1#12,2#12,1#12,360,#6@90,360,#6@90,#6@163.33,0.0,0#0@0,0#0@0,0#0@0,0#0@0,48.9,0.0,0.0,0.0,579.0,674,0.0,0.0,0.0,0.0,0.0,18.7,2.74,Cement Mortar,15.5,5.1,0.87,cyclic,0,none,none,250.0,0.0,none,0,none,none,0.0,0.0,218000.0,229,0.016,0.0,0.0,0.0,"Flexural ductile response with severe infill damage followed by best residual performance. Beam cracking, column diffuse cracking. Infill corners crushed, then horizontal sliding developed. Final failure by beam bar fracture.",Flexural cracks at beam ends including full-depth cracks. Diffuse column cracking on external face. Infill showed corner crushing concentrated at upper corners due to stiffer foundation beam.,Ductile flexural mechanism per seismic design. Maximum beam rotation 0.034 rad. Column overstrength prevented plastic hinge formation. Capacity design verified experimentally.,First test caused flexural cracking and corner infill crushing. Second test showed horizontal sliding at infill mid-height. Final cyclic test achieved highest performance with ultimate failure by beam bar fracture.,Asymmetric deformation with trailing-half beam showing greater rotation due to tension. Column deformation remained less than beam. Pattern confirmed proper distribution per capacity design principles.,No retrofit techniques applied.,Additional reinforcement in beam middle and beam-column joint is needed. Hole in beam middle is needed.
56,N1,0.5,https://doi.org/10.1002/eqe.477,Pseudo-dynamic seismic response of reinforced concrete frames infilled with non-structural brick masonry, F. Colangelo,2005,1550.0,2700.0,200.0,200.0,250.0,200.0,400,400,0.0,0.0,0.0,0.0,600,one_wythe,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.5,running,mortar_bond,10.0,10.0,10.0,10.0,246.0,118.0,79.0,10.0,10.0,18.0,4#10,1#10,6#10,1#10,0.0,0#0@0,0.0,0#0@0,#6@100,18,4#10,2#10,0#0,2#10,0.0,0#0@0,0.0,0#0@0,#6@150,18,4#12,1#12,2#12,1#12,360,#6@90,360,#6@90,#6@163.33,0.0,0#0@0,0#0@0,0#0@0,0#0@0,44.5,0.0,0.0,0.0,346,509,0.0,0.0,0.0,0.0,0.0,2.19,16.4,Cement Mortar,10.4,2.74,0.58,cyclic,0,none,none,250.0,0.0,none,0,none,none,0.0,0.0,189000.0,164,0.0206,0.0,0.0,0.0,Flexural response with brittle details causing concrete degradation. Beam cracking with exposed hoops due to round bar usage. Column longitudinal cracking at lapped splice location. Severe infill damage with crushing.,Flexural beam cracks with concrete beginning to crumble. Hoops of beam exposed due to widely spaced stirrups with 90-degree hooks. Longitudinal cracking at column bottom lapped splice. Infill severely damaged.,"Beam yielding with brittle details. Maximum beam rotation 0.025 rad. Poor detailing (wide hoop spacing, 90-degree hooks, no cross-ties, lapped splice at critical section) compromised performance despite adequate longitudinal reinforcement.",First test produced flexural cracking plus concrete crumbling and hoop exposure. Column bottom cracking at splice. Second test caused little additional cover spalling. Strength decreased more than 20% beyond 1.5% drift.,Deformation concentration in beam ends weakened by tension and poor detailing. Column showed longitudinal cracking at bottom splice rather than distributed yielding along height.,No retrofit techniques applied.,Additional reinforcement in beam middle and beam-column joint is needed. Hole in beam middle is needed. Lapped splice at bottom column. L and T rebars are round.
57,N2,0.5,https://doi.org/10.1002/eqe.477,Pseudo-dynamic seismic response of reinforced concrete frames infilled with non-structural brick masonry, F. Colangelo,2005,1550.0,2700.0,200.0,200.0,250.0,200.0,400,400,0.0,0.0,0.0,0.0,600,one_wythe,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.5,running,mortar_bond,10.0,10.0,10.0,10.0,246.0,118.0,79.0,10.0,10.0,18.0,4#10,1#10,6#10,1#10,0.0,0#0@0,0.0,0#0@0,#6@100,18,4#10,1#10,0#0,1#10,0.0,0#0@0,0.0,0#0@0,#6@150,18,4#12,1#12,2#12,1#12,360,#6@90,360,#6@90,#6@163.33,0.0,0#0@0,0#0@0,0#0@0,0#0@0,54.6,0.0,0.0,0.0,578,662,0.0,0.0,0.0,0.0,0.0,2.19,16.4,Cement Mortar,10.4,2.74,0.58,cyclic,0,none,none,250.0,0.0,none,0,none,none,0.0,0.0,226000.0,215,0.0196,0.0,0.0,0.0,Flexural response with improved behavior due to deformed bars but still limited by poor details. Beam end cracking with beginning bar buckling. Column longitudinal cracking at splices. Severe infill crushing damage.,Flexural cracks at beam ends where concrete began to crumble and little cover spalling occurred. Hoops became exposed. Longitudinal cracking at column bottom lapped splice. Diffuse column cracking along height.,"Beam flexural yielding with maximum rotation 0.028 rad. Deformed bars provided better performance than N1 round bars, but poor details (wide hoop spacing, 90-degree hooks, splice location) still limited ductility.","First test caused flexural cracking, concrete crumbling, and beginning of bar buckling in beam end. Second test produced additional cover spalling in critical beam regions. Column splice cracking visible.",Asymmetric deformation pattern with beam trailing-half concentrating damage. Column bottom showed distress at splice location. Wide hoop spacing allowed localized concrete degradation rather than distributed yielding.,No retrofit techniques applied.,Additional reinforcement in beam middle and beam-column joint is needed. Hole in beam middle is needed. Lapped splice at bottom column.
58,U11,0.5,https://doi.org/10.1002/eqe.477,Pseudo-dynamic seismic response of reinforced concrete frames infilled with non-structural brick masonry, F. Colangelo,2005,1550.0,2100.0,200.0,200.0,250.0,200.0,400,400,0.0,0.0,0.0,0.0,600,one_wythe,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.5,running,mortar_bond,10.0,10.0,10.0,10.0,246,242,77,10.0,10.0,18.0,4#8,0#0,2#8,0#0,0.0,0#0@0,0.0,0#0@0,#6@150,18,4#10,2#10,0#0,2#10,0.0,0#0@0,0.0,0#0@0,#6@150,18,4#12,1#12,2#12,1#12,360,#6@90,360,#6@90,#6@163.33,0.0,0#0@0,0#0@0,0#0@0,0#0@0,35.6,0.0,0.0,0.0,385,482,0.0,0.0,0.0,0.0,0.0,1.79,4.68,Cement Mortar,25.14,2.24,0.35,cyclic,0,none,none,250.0,0.0,none,0,none,none,0.0,0.0,142000.0,155,0.0175,0.0,0.0,0.0,"Non-seismic design with round bars caused premature deterioration. Concrete crumbling, bar buckling at 150mm hoop spacing. Beam reinforcement slippage from joint. Final failure by concrete crushing and bar buckling.",Flexural beam cracks with exposed hoops and longitudinal reinforcement. Column cracking along height. No inclined column top cracks (round bar). Beam bar bent pushed outward cracking joint concrete cover.,Beam yielding with inadequate detailing. Maximum beam rotation 0.025 rad. Column designed only for gravity load with minimal reinforcement. Bar slippage from joint due to round bar and single bent anchorage.,First test produced concrete crumbling and bar buckling specific to 150mm hoop spacing regions. Second test extended damage. Final test showed concrete crushing and bar buckling preventing further deformation capacity.,Concentration at beam ends weakened by tension. Bar slippage caused outward displacement at joint. Column bottom showed limited ductility due to minimal reinforcement and widely spaced hoops.,No retrofit techniques applied.,Additional reinforcement in beam middle and beam-column joint is needed. Hole in beam middle is needed. Lapped splice at bottom column. Round rebars.
59,U21,0.5,https://doi.org/10.1002/eqe.477,Pseudo-dynamic seismic response of reinforced concrete frames infilled with non-structural brick masonry, F. Colangelo,2005,1550.0,2100.0,200.0,200.0,250.0,200.0,400,400,0.0,0.0,0.0,0.0,600,one_wythe,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.5,running,mortar_bond,10.0,10.0,10.0,10.0,246,242,77,10.0,10.0,18.0,4#8,0#0,0#0,0#0,0.0,0#0@0,0.0,0#0@0,#6@150,18,4#10,1#10,0#0,1#10,0.0,0#0@0,0.0,0#0@0,#6@150,18,4#12,1#12,2#12,1#12,360,#6@90,360,#6@90,#6@163.33,0.0,0#0@0,0#0@0,0#0@0,0#0@0,43.1,0.0,0.0,0.0,558,623,0.0,0.0,0.0,0.0,0.0,1.79,4.68,Cement Mortar,25.14,2.24,0.35,cyclic,0,none,none,250.0,0.0,none,0,none,none,0.0,0.0,133000.0,159,0.0149,0.0,0.0,0.0,Non-seismic design with deformed bars showed brittle column response. Inclined cracks in column top. Concrete crumbling. Bar buckling at 150mm hoop spacing. Final failure by concrete crushing and bar buckling.,Flexural beam cracks with exposed hoops and reinforcement. Inclined cracks in one or both column tops (specific to deformed bar frames). Diffuse column cracking. Joint concrete cover cracked from bar bent.,Beam yielding with maximum rotation 0.024 rad. Column designed for gravity only. Inclined column top cracks indicated shear-flexure interaction. Deformed bars prevented slippage but inadequate detailing caused brittle behavior.,"First test caused inclined column cracks, concrete crumbling, bar buckling. Second test extended deterioration. Final test showed concrete crushing and bar buckling as failure mode preventing ductile response.",Beam deformation concentrated at ends. Inclined column top cracks indicated complex stress state. Wide hoop spacing allowed localized buckling rather than distributed inelastic deformation throughout plastic hinge region.,No retrofit techniques applied.,Additional reinforcement in beam middle and beam-column joint is needed. Hole in beam middle is needed. Lapped splice at bottom column.
60,V11,0.5,https://doi.org/10.1002/eqe.477,Pseudo-dynamic seismic response of reinforced concrete frames infilled with non-structural brick masonry, F. Colangelo,2005,1550.0,2700.0,200.0,200.0,250.0,200.0,400,400,0.0,0.0,0.0,0.0,600,one_wythe,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.5,running,mortar_bond,10.0,10.0,10.0,10.0,246,242,77,10.0,10.0,18.0,4#8,0#0,2#8,0#0,0.0,0#0@0,0.0,0#0@0,#6@150,18,4#10,2#10,0#0,2#10,0.0,0#0@0,0.0,0#0@0,#6@150,18,4#12,1#12,2#12,1#12,360,#6@90,360,#6@90,#6@163.33,0.0,0#0@0,0#0@0,0#0@0,0#0@0,39.6,0.0,0.0,0.0,385,482,0.0,0.0,0.0,0.0,0.0,1.79,4.68,Cement Mortar,25.14,2.24,0.35,cyclic,0,none,none,250.0,0.0,none,0,none,none,0.0,0.0,186000.0,190,0.0221,0.0,0.0,0.0,"Infilled frame with non-seismic design and round bars. Concrete crumbling, bar buckling at 150mm hoop spacing. Beam bar slippage with joint cover cracking. Final failure showed better performance than bare V10 counterpart.",Flexural beam and column cracks. Bar buckling visible in members with 150mm hoop spacing. Beam bar bent caused outward pushing and joint concrete cover cracking. Infill severely damaged with corner crushing.,Beam yielding initially governed due to infill diagonal strut action. Maximum beam rotation 0.032 rad. Round bar slippage from joint reduced anchorage effectiveness. Infill altered failure mode compared to bare frame.,"First test caused concrete crumbling, bar buckling, bar slippage. Infill corner crushing. Second test showed similar displacement history to bare frame. Final test demonstrated residual capacity exceeding bare V10 frame.",Asymmetric pattern with trailing-half beam concentrating deformation. Column leading-half separated from infill allowing free inflection. Bar slippage created local joint distress. Infill altered stress distribution compared to bare frame.,No retrofit techniques applied.,Additional reinforcement in beam middle and beam-column joint is needed. Hole in beam middle is needed. Lapped splice at bottom column. Round rebars.
61,V21,0.5,https://doi.org/10.1002/eqe.477,Pseudo-dynamic seismic response of reinforced concrete frames infilled with non-structural brick masonry, F. Colangelo,2005,1550.0,2700.0,200.0,200.0,250.0,200.0,400,400,0.0,0.0,0.0,0.0,600,one_wythe,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.5,running,mortar_bond,10.0,10.0,10.0,10.0,246,242,77,10.0,10.0,18.0,4#8,0#0,0#0,0#0,0.0,0#0@0,0.0,0#0@0,#6@150,18,4#10,1#10,0#0,1#10,0.0,0#0@0,0.0,0#0@0,#6@150,18,4#12,1#12,2#12,1#12,360,#6@90,360,#6@90,#6@163.33,0.0,0#0@0,0#0@0,0#0@0,0#0@0,42.5,0.0,0.0,0.0,558,623,0.0,0.0,0.0,0.0,0.0,1.79,4.68,Cement Mortar,25.14,2.24,0.35,cyclic,0,none,none,250.0,0.0,none,0,none,none,0.0,0.0,210000.0,175,0.0206,0.0,0.0,0.0,Infilled frame with non-seismic design and deformed bars. Inclined column top cracks. Concrete crumbling and bar buckling. Severe infill corner crushing. Final failure by sudden sliding along inclined column crack.,Flexural cracks with inclined cracks in column tops specific to deformed bar usage. Bar buckling visible in regions with 150mm hoop spacing. Infill exhibited severe corner crushing predominantly at upper corners.,Beam yielding with maximum rotation 0.034 rad. Inclined column cracks indicated combined shear-flexure action. Infill diagonal strut altered column demands. Final failure by sudden shear sliding along inclined crack plane.,"First test caused inclined column cracks, concrete crumbling, bar buckling, and severe infill crushing. Second test displacement history became similar to bare frame. Final test showed premature failure by sliding along inclined crack.",Asymmetric deformation with trailing-half beam concentration. Column top showed inclined cracking indicating complex stress state from infill interaction. Leading-half column separated from infill creating unsymmetric demand distribution.,No retrofit techniques applied.,Additional reinforcement in beam middle and beam-column joint is needed. Hole in beam middle is needed. Lapped splice at bottom column.
62,V22,0.5,https://doi.org/10.1002/eqe.477,Pseudo-dynamic seismic response of reinforced concrete frames infilled with non-structural brick masonry, F. Colangelo,2005,1550.0,2700.0,200.0,200.0,250.0,200.0,400,400,0.0,0.0,0.0,0.0,600,one_wythe,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.5,running,mortar_bond,10.0,10.0,10.0,10.0,246,242,77,10.0,10.0,18.0,4#8,0#0,0#0,0#0,0.0,0#0@0,0.0,0#0@0,#6@150,18,4#10,1#10,0#0,1#10,0.0,0#0@0,0.0,0#0@0,#6@150,18,4#12,1#12,2#12,1#12,360,#6@90,360,#6@90,#6@163.33,0.0,0#0@0,0#0@0,0#0@0,0#0@0,41.7,0.0,0.0,0.0,558,623,0.0,0.0,0.0,0.0,0.0,1.79,4.68,Cement Mortar,25.14,2.24,0.35,cyclic,0,none,none,250.0,0.0,none,0,none,none,0.0,0.0,206000.0,221,0.0152,0.0,0.0,0.0,Infilled frame with non-seismic design and deformed bars. Inclined column top cracks. Concrete crumbling and bar buckling. Severe infill corner crushing. Final failure by sudden sliding along inclined column crack.,Flexural cracks with inclined cracks in column tops. Bar buckling at 150mm hoop spacing regions. Infill severe corner crushing concentrated at upper corners due to stiffer foundation beam contact.,"Beam yielding with maximum rotation 0.033 rad. Despite weak frame, infill enabled peak strength matching seismically designed L1 specimen. Inclined column cracks from infill diagonal strut action. Final shear-sliding failure.","First test produced inclined column cracks, concrete crumbling, bar buckling, severe infill crushing. Second test displacement history similar to V21 twin and bare frames. Final test sudden sliding failure along inclined crack.",Asymmetric deformation concentrating in trailing-half beam due to infill-induced tension. Column top inclined cracking from diagonal strut compression. Unexpected dissimilarity from V21 twin attributed to infill property scatter.,No retrofit techniques applied.,Additional reinforcement in beam middle and beam-column joint is needed. Hole in beam middle is needed. Lapped splice at bottom column.
63,MD3,0.6666666666666666,https://www.iitk.ac.in/nicee/wcee/article/11_1731.PDF,Tests on Masonry Infilled R/C Frames and Its Numerical Interpretation.,"D. Combescure, F. Pires, P. Cerqueira, P. Pegon",1996,1800.0,2400.0,150.0,150.0,200.0,150.0,350,350,0.0,0.0,150,0.0,400,one_wythe,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,running,mortar_bond,10.0,10.0,10.0,10.0,300.0,200.0,150.0,10.0,10.0,15,4#10,1#10,2#10,1#10,0.0,0#0@0,0.0,0#0@0,#8@40,15,4#8,1#8,0#0,1#8,0.0,0#0@0,0.0,0#0@0,#6@50,15,4#8,1#8,2#8,1#8,0.0,0#0@0,0.0,0#0@0,#6@50,0.0,0#0@0,0#0@0,0#0@0,0#0@0,25.0,0.0,0.0,0.0,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,0.0,2.2,0.0,cyclic,6,none,custom,100.0,0.0,none,0,none,none,0.0,0.0,209000.0,162.5,0.0031,0.059,138,0.0,masonry crushing at panel corners with interface cracking,Cracking appeared at the interface between panel and frame before crushing. Cracking also appeared in the surrounding frame close to beam-column joints.,Masonry crushing at four corners of the panel. Diagonal strut mechanism with crushing at corners.,"Initial linear behavior with energy dissipation, followed by pinching in force-displacement curves when masonry begins to crush at stage 8, increasing up to ultimate stage 12.",none,none,none
64,MD3,0.6666666666666666,https://www.iitk.ac.in/nicee/wcee/article/11_1731.PDF,Tests on Masonry Infilled R/C Frames and Its Numerical Interpretation.,"D. Combescure, F. Pires, P. Cerqueira, P. Pegon",1996,1800.0,2400.0,150.0,150.0,200.0,150.0,350,350,0.0,0.0,150,0.0,400,one_wythe,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,running,mortar_bond,10.0,10.0,10.0,10.0,300.0,200.0,150.0,10.0,10.0,15,4#10,1#10,2#10,1#10,0.0,0#0@0,0.0,0#0@0,#8@40,15,4#8,1#8,0#0,1#8,0.0,0#0@0,0.0,0#0@0,#6@50,15,4#8,1#8,2#8,1#8,0.0,0#0@0,0.0,0#0@0,#6@50,0.0,0#0@0,0#0@0,0#0@0,0#0@0,25.0,0.0,0.0,0.0,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,0.0,2.2,0.0,cyclic,6,none,custom,20.0,0.0,none,0,none,none,0.0,0.0,187000.0,199.5,0.0026,0.059,89.5,0.0,masonry crushing at panel corners with interface cracking,Cracking appeared at the interface between panel and frame before crushing. Cracking also appeared in the surrounding frame close to beam-column joints. Figure 2 shows damage at stage 12.,Masonry crushing at four corners of the panel. Diagonal strut mechanism with crushing at corners. Lower vertical load resulted in less friction at interface initially.,Initial linear behavior with less energy dissipation than MD3. Hysteretic curves show elastic unloading followed by sliding phase. Pinching in force-displacement curves appears at stage 7 when masonry begins to crush. Pinching effect increases with infill damage. S-shaped curve develops due to vertical load partially transmitted by infill panel.,none,none,none
65,1,0.75,http://dx.doi.org/10.26021/1979,Seismic Behaviour of Reinforced Concrete Structures with Masonry Infills,Francisco Javier Crisafulli,1997,2200.0,2816.0,150.0,150.0,200.0,150.0,400,300,0.0,0.0,200,0.0,550,one_wythe,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,running,mortar_bond,10.0,10.0,10.0,10.0,230.0,75.0,90.0,10.0,10.0,16.0,4#10,0#0,0#0,0#0,525,#6@75,525,#6@75,#6@150,16,4#10,0#0,0#0,0#0,0.0,0#0@0,0.0,0#0@0,#6@100,16,4#12,1#12,2#12,1#12,0.0,0#0@0,0.0,0#0@0,#8@75,0.0,0#0@0,0#0@0,0#0@0,0#0@0,22.5,22.1,0.0,0.0,323.0,411.0,201.9,0.0,0.0,0.0,0.0,26.2,0.0,Cement: bicklayer lime mortar: sand  1:2:2,8.0,19.3,0.0,cyclic,3,increasing,custom,20.0,0.0,none,0,none,none,0.0,0.0,0.0,13,0.1875,0.015,36,0.0,Sliding shear failure at column top with severe cracking and debonding of upper masonry panel. Lateral resistance was only 50% of predicted tensile failure capacity. Significant beam elongation and joint opening occurred. Residual strength in negative direction was 79% of peak capacity.,"Initial horizontal crack formed in south beam-column joint during load run 3, propagating through mortar joint near top beam. Stepped cracks developed through head and bed joints. Progressive cracking concentrated in upper panel region with separation at column-panel interfaces. Final stage showed sliding along horizontal mortar joints with large gaps between bricks.","Sliding shear mechanism at column top and along horizontal mortar joints. Dowel action of longitudinal reinforcement was primary resistance mechanism. Severe debonding of mortar joints in upper masonry panel. Large relative rotation between beam and columns caused unfavorable joint opening, reducing frame restraint to cracked panel.","Load run 3: Initial horizontal crack in beam-column joint. Load runs 9-10: Stepped cracks in panel corners, vertical cracks in beam central region. Load runs 15-16: Tensile cracks along columns, beam reinforcement yielding began. Load runs 21-22: Flexural cracks at column tops, yielding of external longitudinal bars. Load runs 39-40: Plastic hinge development, uneven crack opening in beam. Final cycles: Panel sliding, column separation with double curvature, one layer of bricks slid with beam over rest of panel.",Maximum flexural deformations occurred at top of tension column and both ends of compression column. Beam bent upward due to joint rotation and inclined compressive field in panel. Maximum beam elongation reached 22 mm in later cycles. Transverse reinforcement stresses remained low (70-132 MPa at base). Yielding concentrated at member ends in potential plastic hinge regions.,none,none
